AAPL
XOM
MSFT
BAC^I
IBM
CVX
GE
WMT
T
JNJ
PG
WFC
KO
PFE
JPM
GOOG
PM
VOD
ORCL
INTC
MRK
VZ
BRK/A
QCOM
PEP
CSCO
AMZN
ABT
MCD
SLB
C
BRK/B
BAC
RY
HD
DIS
TD
UTX
OXY
AXP
KFT
COP
MO
CAT
V
CMCSA
MMM
USB
AIG
EMC
CVS
BNS
UNH
BA
UPS
BMY
AMGN
UNP
GS
MA
EBAY
DD
HPQ
LLY
CL
SU
SPG
EPD
HON
LVS
ESRX
SBUX
NKE
ACN
F
MDT
SO
MON
TEVA
DOW
GILD
ABX
IMO
LOW
DHR
CNI
DB
TGT
PCLN
BMO
POT
MET
COST
EMR
BIDU
TXN
GM
TWX
CNQ
FCX
APC
PNC
PX
APA
BP
YUM
DTV
DE
NWSA
QQQ
MS
BCE
ENB
BIIB
TJX
KMB
CELG
BAX
TRP
NOV
HAL
D
GG
CM
MCI
WAG
RDS/A
DUK
LMT
DELL
EOG
AGN
FDX
ERIC
BK
SCCO
ITW
NEE
DVN
ADP
AMT
COV
INFY
ACE
BLK
EXC
TYC
BEN
PCP
TRV
COF
KMI
PRU
GIS
TWC
TRI
CVE
GD
PSA
AMX
CTL
VIAB
NSC
RAI
CSX
MFC
LYB
NEM
ISRG
STT
BBT
WLP
JCI
ADM
MPV
CTSH
MCK
CRM
COH
EP
GLW
CMI
SYK
AFL
CBS
BAM
TCK
ASML
CB
TMO
SE
FE
WMB
CCL
KMP
PSX
MRO
EQR
PCG
AEP
MMC
ECL
YHOO
SHPGY
CMCSK
APD
BHI
K
RTN
GSK
DFS
WPZ
SDRL
HES
ED
LO
SCHW
M
MJN
CME
HNZ
BRCM
PBR/A
VTR
WPPGY
NBL
TSM
ALL
RIG
GGP
INTU
HCP
VFC
VALE
BBBY
WFM
CCI
NVS
SYY
ALXN
L
F^A
PLD
BDX
PGN
ADBE
DG
PPG
VNO
BXP
PEG
VALE/P
NLY
PPL
AON
GR
WM
SRE
NOC
NWS
VRX
ECA
CTXS
TROW
ETN
AZO
MOS
RCI
AET
LGI
MSI
CAH
LTD
TEL
PCAR
AMAT
EL
ROST
EIX
A
GWW
CLR
IP
OMC
ATVI
AVB
EMQ
GPS
MPC
NTAP
VMW
CERN
STX
MHP
TVE
SLF
DEO
AGU
PGR
RDS/B
ORLY
PXD
XEL
ITUB
IIF
HUM
FAST
MAR
SLE
CI
KR
CMG
FITB
PH
WYNN
CA
STI
CP
PAA
VLO
IR
SHW
SWK
TDC
BAP
KSS
ESV
ABV
DLTR
CF
REGN
HCN
CAM
NUE
TLM
HOG
STJ
MMI
HST
HCA
MXF
MNST
JWN
ETR
SYMC
AMP
CHK
CHKP
HOT
RHT
NTRS
ARMH
ZMH
MAT
ADI
DOV
ROK
HSY
ETP
WU
ALTR
PAYX
MTB
WY
VIV
CPB
CAG
NLSN
SNY
IVZ
FTI
AUY
WFT
FFIV
JNPR
RL
RRC
SPLS
XRX
FMX
GPC
RYAAY
AMTD
LINTA
SWN
CXO
SLW
AA
RSG
MGA
CHRW
MUR
CBE
ROP
UN
FIS
EW
DLPH
FLR
PRGO
KGC
TOT
AGNC
DTE
LMCA
RF
BBD
NXY
BG
WPI
FISV
DAL
ABC
ICE
AES
BEAM
NE
WDC
GRMN
BPO
DGX
ETE
DO
FRX
OKE
THI
APH
BSX
MYL
XLNX
CIE
CCJ
CPN
MCO
CLX
CCE
SNDK
HIG
TU
CNP
BWA
SJM
LULU
ADSK
DPS
LH
WEC
EXPD
KORS
BCR
TIF
KLAC
AVP
CLF
SIAL
KSU
MAC
MRVL
SJR
CNA
SIRI
VRSK
AME
MXIM
FOSL
FDO
KIM
LIFE
BTU
DVA
DLR
MMP
VRTX
RAX
AEE
IVN
PFG
NTES
BHP
LINE
COL
AVGO
CIT
DISCA
MPEL
CNX
HRL
GOLD
OKS
NVDA
KEY
WYN
BF/B
WAT
EQIX
PWE
UAL
CHD
JCP
FMC
EQT
BBY
EGO
NUAN
CE
LBTYA
COG
KMR
SRCL
LLTC
SLG
VAR
MBT
TXT
LLL
EEP
S
NI
SLM
JOY
EPB
ARG
EMN
TSCO
DNR
KMX
BAC^L
HSIC
NVO
MKC
XL
PLL
WIN
SNI
AAP
LNC
BMC
NYX
JBHT
TAP
AEM
DISH
HTZ
DRI
PETM
VRSN
MCHP
MU
FRT
TDG
BX
CLB
TRMB
NU
TV
BLL
ADS
HBC
VMED
WSH
RE
UNM
GRPN
CMA
IHS
PCL
RIMM
LUV
CHTR
BUD
HFC
FLS
MGM
FNV
CFN
WLL
BVN
UDR
NXPI
LUK
AWK
BTE
MWE
SCG
SBAC
PVH
CBG
SHLD
CMS
CINF
RCL
ANSS
AKAM
VHI
Y
SXCI
ALB
NYB
LBTYK
HBAN
HSP
ST
XRAY
RYN
AMG
EFX
ILMN
HLF
AU
PII
CPT
TIBX
LVLT
XEC
ESS
OGE
ULTA
RIO
ALV
TSN
CCK
DISCK
TRW
NWL
WCRX
CHL
SUN
VMC
MTD
IRM
QEP
WRB
DOX
DHI
OII
TS
ACGL
O
PNW
HTR
TKR
BWP
DCI
PXP
MAS
ASH
SBH
JEC
HP
IPG
CTAS
MHK
SWY
AVT
AMD
MKTAY
LKQX
EA
PAY
GIB
ENR
EXPE
CEF
ELN
NBR
INFA
BPL
XYL
DKS
RMD
LNT
AZN
TRIP
MWV
LRCX
SWKS
LNKD
PWR
IDXX
PNRA
WHR
PRE
IFF
BF/A
TMK
IBN
VAL
BEAV
UL
HRS
FL
FDS
HAS
NFX
ARE
FLEX
WTW
TCO
RJF
IGT
WFC^L
GAS
HOLX
AGCO
LSI
KBR
JBL
MCRS
AXS
LEN
IEP
ATI
TNH
PBCT
CHSI
TSS
GRA
AJG
IAG
KOS
POM
VNO^A
MKL
PKX
CVH
TOL
ANF
SNPS
AN
HRB
APOL
MSCI
HDB
LRY
FNF
MDU
CIG
CPO
FRC
REG
PNR
CSC
RHI
TEG
WES
RKT
ARW
COO
RDC
CBI
ROC
SM
BIP
BMRN
OC
HUB/B
RNR
DDR
NDAQ
MELI
SIG
URBN
LECO
IT
NFLX
NVR
NGLS
LEA
WLT
NGG
RGA
RS
BRE
BTI
OIS
BOKF
NGD
RAH
FTNT
UA
SXL
ENDP
SAI
QGEN
AEO
GNC
SI
OCR
GMCR
NFG
WCN
AFG
FTR
NS
DNKN
SPW
NVE
ARBA
TE
X
DRE
WSM
SPN
LPLA
WBC
TW
PHM
BRO
ITC
TNB
YNDX
GM^B
WLK
SINA
EDU
EGX
HCS^B
IACI
PDCO
ONNN
RGP
WAB
NUC
FBHS
CREE
NCR
TAC
G
AMLN
GPRO
UHS
DNB
ZION
OI
MLM
SNA
